year,month,week,severity_score,outbreak_relevance_score,cases_total,deaths,search_volume_avg,search_volume_max,spike_ratio_max,spike_ratio_avg,baseline_avg,entity_count,location_count,org_count,person_count,date_entity_count,numeric_entity_count,has_who_mention,urgency_score,containment_score,net_urgency,risk_keyword_count,response_keyword_count,escalation_language_flag,word_count,sentence_count,avg_sentence_length,has_disease_in_text,has_country_in_text,disease_risk_score,disease_fatality_weight,disease_outbreak_count,is_peak_season,season_risk,country_outbreak_count,disease_country_count,is_endemic_country,case_fatality_ratio,has_deaths,has_cases,log_cases,log_deaths,cases_per_death,has_trend_data,spike_alert,spike_warning,disease_encoded,season_encoded,spike_level_encoded,escalated
2019,10,43,1,3,1171,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,0,6,1,6.0,1,1,0.45,0.3,18,0,0.0,2,1,0,0.0,0,1,7.0665,0.0,0.0,0,0,0,7,3,0,1
2019,10,42,1,5,278,8,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,2,0,1,0,1,0,0,0,11,2,5.5,1,1,0.6,0.45,249,0,0.0,3,1,0,0.0288,1,1,5.6312,2.1972,34.75,0,0,0,0,3,0,1
2019,9,39,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,2,2.0,1,1,0.4,0.25,93,1,0.3,2,2,0,0.0,0,0,0.0,0.0,0.0,0,0,0,11,3,0,0
2019,9,38,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10.0,0,1,0.9,0.9,165,0,0.0,4,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,3,3,0,0
2019,9,36,0,2,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,15,2,7.5,1,1,0.4,0.25,93,1,0.3,6,1,0,0.0,0,1,0.6931,0.0,0.0,0,0,0,11,3,0,0
2019,8,34,0,2,7,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,13,1,13.0,1,1,0.4,0.25,93,1,0.3,2,2,0,0.0,0,1,2.0794,0.0,0.0,0,0,0,11,2,0,0
2019,6,24,1,4,0,2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,1,0,2,0,2,0,0,1,12,2,6.0,1,1,0.9,0.9,165,0,0.0,62,49,1,0.0,1,0,0.0,1.0986,0.0,0,0,0,3,2,0,0
2019,6,23,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7.0,1,1,0.4,0.25,93,1,0.3,9,3,1,0.0,0,0,0.0,0.0,0.0,0,0,0,11,2,0,0
2019,5,21,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,1,9.0,1,1,0.4,0.25,93,0,0.0,3,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,11,1,0,0
2019,5,20,0,2,0,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,0,0,1,0,1,0,0,0,6,1,6.0,0,1,0.55,0.3,8,1,0.3,7,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,9,1,0,0
