disease,search_volume,latest_search_volume,recent_search_volume_avg,baseline_avg,latest_spike_ratio,recent_avg_spike_ratio,spike_ratio_used,spike_ratio,spike_method,signal_level,who_reported,early_warning,date_checked
ebola,9.0,9.0,28.0,5.6,1.6,4.96,4.96,4.96,recent_4_record_average_vs_baseline,Alert,True,False,2026-06-30
rift valley fever,39.0,39.0,52.5,34.8,1.12,1.51,1.51,1.51,recent_4_record_average_vs_baseline,Watch,False,True,2026-06-30
